CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,Poverty
21015,Kentucky,Boone,124617,61530,63087,4860.063,110659.89600000001,3613.8929999999996,249.234,2990.808,0.0,86782,66730.0,8.2
21017,Kentucky,Bourbon,20013,9878,10135,1380.8970000000002,17031.063,1420.9229999999998,0.0,40.026,0.0,14589,45208.0,16.6
21019,Kentucky,Boyd,48917,24241,24676,733.755,45737.395000000004,1320.7590000000002,146.751,195.668,0.0,38377,42319.0,20.4
21021,Kentucky,Boyle,29388,14607,14781,911.028,25391.232000000004,2027.7720000000002,0.0,235.104,0.0,22962,39704.0,16.1
21023,Kentucky,Bracken,8425,4203,4222,117.94999999999999,8290.2,0.0,0.0,0.0,0.0,6317,36327.0,18.5
21025,Kentucky,Breathitt,13591,6829,6762,67.955,13224.043,67.955,27.182000000000002,54.364000000000004,27.182000000000002,10642,25817.0,32.9
21027,Kentucky,Breckinridge,20061,9945,10116,240.732,19017.827999999998,461.403,0.0,20.061,0.0,15325,43479.0,17.4
21029,Kentucky,Bullitt,76961,38049,38912,1231.376,73343.833,384.805,153.922,384.805,76.961,58538,55975.0,10.4
21031,Kentucky,Butler,12835,6450,6385,449.225,12270.26,89.84499999999998,25.67,0.0,0.0,9740,33536.0,29.3
21033,Kentucky,Caldwell,12826,6191,6635,179.564,11722.964,743.9079999999999,0.0,0.0,38.478,9933,42537.0,20.1
21035,Kentucky,Calloway,38106,18379,19727,952.6500000000001,34142.975999999995,1486.134,114.318,838.3320000000001,0.0,29804,37034.0,23.1
21037,Kentucky,Campbell,91475,44858,46617,1646.5500000000002,84614.375,2927.2000000000003,91.47500000000001,731.8000000000001,0.0,69969,54621.0,14.6
21039,Kentucky,Carlisle,4984,2402,2582,109.64800000000001,4719.848,79.744,34.888,4.984,0.0,3871,38829.0,19.8
21041,Kentucky,Carroll,10830,5590,5240,736.44,9627.87,259.92,21.66,10.83,0.0,7718,41439.0,27.9
21043,Kentucky,Carter,27326,13502,13824,327.91200000000003,26424.242000000002,218.608,54.652,27.326,0.0,21031,36696.0,17.6
21045,Kentucky,Casey,15954,7857,8097,430.75800000000004,15188.208,127.632,15.954,31.908,0.0,12186,32341.0,25.5
21047,Kentucky,Christian,74159,38891,35268,5265.289,50057.325000000004,14312.687,296.636,1038.2259999999999,222.477,52080,39521.0,19.9
